,Age,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Prod_Efficiency,Exp_Task_Rate
237,23,4,Male,Master Degree,Divorced,No,Suburban,HR,Mid-Level,Small (51-200),Consulting,Good,Moderate (25-50 Mbps),32,Moderate,Daily,76.9,61.2,57.7,88.7,14,41,93.3,3,10,5889.68,0.0
238,43,0,Female,PhD,Single,Yes,Suburban,Marketing,Senior,Small (51-200),Media,Average,Moderate (25-50 Mbps),46,Low,Daily,91.1,75.0,58.4,95.0,5,43,86.7,7,5,7315.0,728.8
239,54,3,Female,Associate Degree,Divorced,No,Suburban,Data Science,Senior,Medium (201-1000),Education,Good,Fast (50-100 Mbps),39,High,Few times per week,86.7,100.0,86.8,95.0,8,3,100.0,8,9,9310.0,953.7
240,44,1,Female,Associate Degree,In Relationship,No,Suburban,Operations,Mid-Level,Small (51-200),Healthcare,Excellent,Very Fast (100+ Mbps),55,High,Bi-weekly,100.0,95.3,80.4,95.0,6,24,100.0,2,8,9310.0,500.0
241,22,2,Male,Master Degree,Single,No,Suburban,Operations,Mid-Level,Large (1001-5000),Retail,Excellent,Fast (50-100 Mbps),50,High,Weekly,65.6,69.6,53.7,85.9,15,73,100.0,5,7,5566.32,65.6
242,30,2,Female,Master Degree,Single,Yes,Suburban,Sales,Senior,Small (51-200),Education,Excellent,Fast (50-100 Mbps),34,High,Daily,93.5,90.9,82.6,95.0,12,42,100.0,5,7,9310.0,280.5
243,46,3,Male,Master Degree,Married,No,Urban,HR,Senior,Enterprise (5000+),Non-profit,Excellent,Fast (50-100 Mbps),48,Very High,Daily,99.1,96.9,88.2,95.0,11,35,100.0,9,6,9310.0,693.6999999999999
244,28,3,Male,Master Degree,Single,No,Suburban,Marketing,Senior,Large (1001-5000),Technology,Good,Slow (<25 Mbps),51,Low,Weekly,77.5,81.1,77.4,92.6,9,7,97.3,5,7,7787.659999999999,232.5
245,38,5,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Senior,Enterprise (5000+),Finance,Good,Moderate (25-50 Mbps),39,Very Low,Few times per week,98.3,97.0,78.8,95.0,7,0,100.0,4,9,9101.0,983.0
246,41,3,Male,Bachelor Degree,Married,Yes,Suburban,Operations,Junior,Small (51-200),Media,Average,Very Fast (100+ Mbps),41,Low,Weekly,83.3,81.7,77.5,95.0,13,40,100.0,6,8,8227.0,166.6
247,26,5,Female,PhD,Married,Yes,Urban,Customer Success,Senior,Medium (201-1000),Media,Good,Very Fast (100+ Mbps),38,Low,Daily,71.2,80.0,65.4,88.7,6,0,80.7,4,5,6155.780000000001,213.60000000000002
248,34,4,Female,Bachelor Degree,Single,No,Rural,Engineering,Lead,Small (51-200),Healthcare,Excellent,Very Fast (100+ Mbps),35,Very Low,Few times per week,68.7,68.6,59.7,95.0,10,0,93.7,6,3,7181.999999999999,480.90000000000003
249,22,3,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Junior,Small (51-200),Technology,Excellent,Very Fast (100+ Mbps),51,Low,Few times per week,72.0,77.1,54.5,87.3,8,29,72.7,6,5,6599.879999999999,0.0
250,25,4,Female,Master Degree,Married,No,Urban,Operations,Junior,Medium (201-1000),Consulting,Average,Very Fast (100+ Mbps),26,Moderate,Weekly,62.8,58.9,52.2,85.2,2,20,87.6,7,4,4839.36,62.8
251,32,1,Male,Bachelor Degree,In Relationship,Yes,Rural,Customer Success,Mid-Level,Large (1001-5000),Education,Excellent,Moderate (25-50 Mbps),37,Very High,Daily,100.0,92.2,91.3,95.0,13,29,100.0,6,10,9310.0,700.0
252,49,3,Female,Associate Degree,Married,No,Urban,Design,Mid-Level,Small (51-200),Healthcare,Good,Fast (50-100 Mbps),42,Very High,Few times per week,99.1,100.0,90.4,95.0,2,8,100.0,9,4,9310.0,198.2
253,22,5,Female,Master Degree,Divorced,Yes,Rural,Design,Junior,Small (51-200),Technology,Poor,Very Fast (100+ Mbps),34,High,Daily,69.7,70.0,48.2,82.6,10,0,100.0,5,7,5385.5199999999995,0.0
254,31,4,Male,Master Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),50,Moderate,Weekly,92.1,97.8,80.4,95.0,8,28,100.0,7,6,9120.0,368.4
255,36,4,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Lead,Enterprise (5000+),Healthcare,Excellent,Moderate (25-50 Mbps),30,High,Daily,100.0,100.0,74.0,95.0,6,28,100.0,6,5,9310.0,700.0
256,47,4,Male,Bachelor Degree,Single,Yes,Suburban,Finance,Director,Startup (1-50),Technology,Good,Fast (50-100 Mbps),31,High,Daily,77.9,95.2,64.0,95.0,8,28,100.0,8,3,7628.5,1246.4
257,22,2,Female,Bachelor Degree,Divorced,No,Suburban,Design,Junior,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),42,Very High,Bi-weekly,100.0,100.0,78.5,95.0,3,63,100.0,5,3,9110.5,0.0
258,45,2,Male,Bachelor Degree,Married,Yes,Suburban,Finance,Mid-Level,Enterprise (5000+),Finance,Good,Moderate (25-50 Mbps),34,Very High,Daily,73.7,74.1,44.4,85.7,13,34,100.0,6,7,6076.130000000001,368.5
259,35,3,Female,Bachelor Degree,In Relationship,No,Urban,Marketing,Senior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),43,High,Daily,99.4,100.0,69.2,95.0,6,31,100.0,3,8,9310.0,596.4000000000001
260,26,3,Male,Bachelor Degree,Divorced,Yes,Urban,Engineering,Junior,Large (1001-5000),Technology,Excellent,Fast (50-100 Mbps),37,Very High,Daily,92.7,86.8,84.4,95.0,6,40,100.0,3,9,9310.0,0.0
261,39,2,Male,Bachelor Degree,Married,Yes,Suburban,Marketing,Senior,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),46,Very High,Bi-weekly,91.3,99.0,81.0,95.0,7,19,100.0,8,7,9310.0,365.2
262,36,5,Male,Associate Degree,Married,No,Urban,Operations,Lead,Medium (201-1000),Government,Poor,Fast (50-100 Mbps),36,High,Weekly,89.8,76.8,88.9,95.0,4,0,100.0,8,7,7856.5,538.8
263,29,3,Male,Associate Degree,Single,No,Rural,Sales,Junior,Medium (201-1000),Technology,Poor,Very Fast (100+ Mbps),50,Moderate,Monthly,68.5,65.3,38.7,74.9,11,22,96.0,5,5,4771.130000000001,68.5
264,35,5,Male,Master Degree,Single,Yes,Suburban,Marketing,Senior,Large (1001-5000),Finance,Good,Fast (50-100 Mbps),45,High,Weekly,91.8,83.6,71.7,95.0,6,0,100.0,7,5,8550.0,367.2
265,31,4,Female,High School,Married,No,Urban,Engineering,Senior,Small (51-200),Finance,Excellent,Fast (50-100 Mbps),37,Moderate,Weekly,92.5,79.6,66.0,95.0,5,5,100.0,8,6,8711.5,555.0
266,36,3,Female,Master Degree,Married,Yes,Suburban,Marketing,Junior,Small (51-200),Consulting,Excellent,Very Fast (100+ Mbps),45,High,Few times per week,100.0,94.9,79.7,95.0,9,33,100.0,3,8,9310.0,200.0
267,40,5,Female,Master Degree,Married,No,Urban,Engineering,Mid-Level,Small (51-200),Finance,Average,Moderate (25-50 Mbps),42,Very High,Weekly,99.0,96.0,88.4,95.0,9,0,100.0,10,6,9310.0,396.0
268,49,3,Female,Master Degree,Divorced,Yes,Urban,Engineering,Senior,Medium (201-1000),Technology,Average,Very Fast (100+ Mbps),46,Moderate,Few times per week,100.0,88.0,84.6,95.0,10,26,91.2,8,5,9310.0,800.0
269,23,5,Male,Master Degree,Single,Yes,Suburban,Customer Success,Junior,Large (1001-5000),Technology,Poor,Moderate (25-50 Mbps),45,High,Weekly,58.0,55.9,61.8,63.6,13,0,100.0,7,9,3218.1600000000003,0.0
270,54,2,Male,Associate Degree,Married,No,Rural,Engineering,Senior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),44,Very High,Weekly,94.7,100.0,76.4,95.0,8,49,100.0,6,6,9310.0,757.6
271,22,2,Male,Master Degree,Married,Yes,Urban,Operations,Mid-Level,Startup (1-50),Retail,Average,Fast (50-100 Mbps),42,Low,Weekly,84.1,68.4,71.2,89.1,11,33,100.0,8,3,6789.42,0.0
272,33,3,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Finance,Average,Fast (50-100 Mbps),47,Moderate,Daily,100.0,98.4,95.0,95.0,8,16,100.0,7,7,9310.0,900.0
273,40,3,Female,Master Degree,In Relationship,Yes,Suburban,Engineering,Lead,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),49,High,Few times per week,95.9,96.6,95.0,95.0,8,30,100.0,6,7,9310.0,1246.7
274,37,3,Male,Master Degree,Married,No,Urban,Sales,Junior,Medium (201-1000),Finance,Average,Very Fast (100+ Mbps),42,Low,Few times per week,78.4,70.3,51.3,95.0,14,46,94.6,8,10,6963.5,78.4
275,29,3,Male,High School,Married,No,Urban,Engineering,Mid-Level,Large (1001-5000),Education,Excellent,Fast (50-100 Mbps),45,Low,Few times per week,53.0,54.9,54.0,49.6,3,33,35.2,4,8,2460.1600000000003,53.0
276,33,2,Female,Bachelor Degree,Married,No,Suburban,Engineering,Senior,Startup (1-50),Retail,Good,Moderate (25-50 Mbps),47,High,Monthly,93.5,85.3,76.0,95.0,7,6,100.0,4,3,7904.0,561.0
277,30,5,Female,Bachelor Degree,Single,No,Rural,Product,Senior,Startup (1-50),Technology,Poor,Slow (<25 Mbps),51,Moderate,Few times per week,78.7,58.2,64.2,90.9,7,0,74.5,9,6,6017.580000000001,314.8
278,29,3,Female,Master Degree,Married,No,Urban,Engineering,Junior,Small (51-200),Healthcare,Excellent,Very Fast (100+ Mbps),50,Moderate,Daily,80.6,79.4,48.5,94.7,6,27,79.0,2,6,7310.84,161.2
279,42,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Senior,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),48,Very High,Few times per week,100.0,98.3,86.3,95.0,7,56,100.0,2,6,9310.0,900.0
280,38,4,Female,Bachelor Degree,In Relationship,Yes,Rural,Customer Success,Senior,Medium (201-1000),Education,Good,Fast (50-100 Mbps),39,Moderate,Weekly,98.2,94.1,90.9,95.0,6,15,100.0,7,4,9310.0,294.6
281,28,4,Male,Bachelor Degree,Divorced,No,Urban,Sales,Mid-Level,Medium (201-1000),Education,Average,Fast (50-100 Mbps),34,Very High,Bi-weekly,77.3,88.3,74.0,95.0,6,17,100.0,5,6,7856.5,231.89999999999998
282,43,5,Female,Bachelor Degree,Married,Yes,Urban,Finance,Manager,Large (1001-5000),Media,Average,Moderate (25-50 Mbps),45,Moderate,Few times per week,100.0,100.0,95.0,95.0,11,0,100.0,8,6,9310.0,1900.0
283,37,3,Female,PhD,Married,Yes,Rural,Engineering,Junior,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),45,Moderate,Daily,95.0,92.7,68.9,95.0,8,0,94.4,5,5,8502.5,190.0
284,42,1,Female,Master Degree,Single,No,Suburban,Engineering,Lead,Large (1001-5000),Healthcare,Average,Very Fast (100+ Mbps),39,High,Daily,82.7,94.3,85.0,95.0,6,33,100.0,5,7,7970.500000000001,909.7
285,40,3,Female,Bachelor Degree,Single,No,Urban,Operations,Lead,Medium (201-1000),Technology,Good,Fast (50-100 Mbps),33,Low,Daily,100.0,100.0,95.0,95.0,12,18,100.0,9,5,9310.0,800.0
286,27,3,Male,Associate Degree,Married,Yes,Urban,Data Science,Junior,Startup (1-50),Technology,Excellent,Very Fast (100+ Mbps),51,Moderate,Daily,91.6,89.0,85.9,95.0,11,32,100.0,6,4,8122.5,183.2
287,29,5,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Junior,Small (51-200),Technology,Average,Fast (50-100 Mbps),44,Low,Weekly,88.0,95.7,84.8,95.0,5,0,92.5,6,10,9310.0,176.0
288,41,3,Male,Bachelor Degree,Single,No,Suburban,Sales,Mid-Level,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),34,High,Daily,100.0,100.0,90.6,95.0,3,25,100.0,8,7,9310.0,600.0
289,40,5,Male,Master Degree,Married,No,Suburban,Engineering,Mid-Level,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),41,Very High,Daily,98.8,98.6,90.5,95.0,7,0,100.0,5,7,9310.0,494.0
290,34,3,Male,Bachelor Degree,Married,Yes,Suburban,Engineering,Junior,Enterprise (5000+),Government,Excellent,Fast (50-100 Mbps),33,Moderate,Weekly,71.3,79.7,65.2,95.0,6,27,93.7,4,5,7334.0,0.0
291,36,5,Female,Bachelor Degree,Married,Yes,Suburban,Product,Senior,Small (51-200),Education,Average,Very Fast (100+ Mbps),46,High,Few times per week,85.8,100.0,95.0,95.0,5,0,100.0,6,5,9310.0,943.8
292,46,0,Female,Master Degree,Married,No,Urban,Engineering,Senior,Startup (1-50),Technology,Good,Very Fast (100+ Mbps),53,High,Daily,77.8,90.1,73.0,92.5,7,46,100.0,5,4,7279.75,544.6
293,29,5,Male,Master Degree,Single,Yes,Urban,Customer Success,Mid-Level,Startup (1-50),Technology,Average,Slow (<25 Mbps),40,Moderate,Few times per week,70.3,64.2,87.6,91.3,9,0,75.4,4,3,6126.23,210.89999999999998
294,39,5,Female,Bachelor Degree,Married,No,Urban,Engineering,Mid-Level,Small (51-200),Finance,Average,Moderate (25-50 Mbps),41,High,Daily,89.1,79.4,77.2,95.0,12,0,100.0,3,7,8122.5,445.5
295,33,5,Male,High School,Divorced,Yes,Suburban,Product,Mid-Level,Medium (201-1000),Finance,Excellent,Moderate (25-50 Mbps),40,High,Few times per week,100.0,95.9,75.3,95.0,7,0,100.0,7,5,8531.0,300.0
296,33,0,Female,Bachelor Degree,Married,Yes,Suburban,Marketing,Senior,Enterprise (5000+),Technology,Good,Slow (<25 Mbps),40,High,Weekly,88.5,88.6,78.1,95.0,11,0,100.0,2,5,7581.0,531.0
297,44,1,Male,Master Degree,Divorced,Yes,Urban,Product,Lead,Medium (201-1000),Healthcare,Average,Very Fast (100+ Mbps),37,High,Bi-weekly,63.6,71.2,72.1,85.3,5,57,100.0,6,4,6116.01,445.2
298,42,4,Male,PhD,Single,No,Urban,Engineering,Lead,Medium (201-1000),Media,Average,Very Fast (100+ Mbps),50,High,Daily,89.3,100.0,83.2,95.0,12,31,100.0,5,4,9310.0,982.3
299,42,0,Female,Associate Degree,Married,No,Suburban,HR,Manager,Large (1001-5000),Healthcare,Good,Very Fast (100+ Mbps),43,Very High,Daily,72.7,76.3,71.9,93.7,10,54,100.0,4,6,6961.91,1090.5
300,46,0,Male,High School,Married,Yes,Suburban,Finance,Lead,Startup (1-50),Healthcare,Poor,Moderate (25-50 Mbps),42,High,Weekly,88.1,100.0,75.2,95.0,15,43,100.0,8,8,8692.5,1673.8999999999999
301,35,2,Male,Master Degree,Married,No,Urban,Marketing,Senior,Large (1001-5000),Manufacturing,Good,Fast (50-100 Mbps),40,Moderate,Daily,91.4,98.8,67.1,95.0,6,42,100.0,7,10,9310.0,274.20000000000005
302,41,3,Male,Master Degree,Divorced,Yes,Urban,Customer Success,Lead,Medium (201-1000),Technology,Good,Fast (50-100 Mbps),34,High,Few times per week,100.0,93.9,95.0,95.0,8,22,100.0,7,6,9310.0,1100.0
303,32,3,Female,Professional Degree,Married,No,Urban,Operations,Junior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),47,Moderate,Daily,40.0,50.0,30.0,47.4,8,17,52.6,5,7,1659.0,80.0
304,37,0,Male,Bachelor Degree,Married,Yes,Suburban,Product,Lead,Medium (201-1000),Healthcare,Excellent,Fast (50-100 Mbps),50,High,Weekly,77.0,88.4,91.3,95.0,7,52,100.0,6,4,9310.0,462.0
305,33,1,Female,Bachelor Degree,Married,No,Suburban,Sales,Senior,Medium (201-1000),Retail,Good,Very Fast (100+ Mbps),30,Moderate,Bi-weekly,64.4,74.1,56.8,95.0,12,43,82.8,3,7,6450.500000000001,322.0
306,35,3,Female,Bachelor Degree,Married,Yes,Suburban,Operations,Mid-Level,Startup (1-50),Healthcare,Average,Very Fast (100+ Mbps),46,Very Low,Monthly,73.2,84.6,73.3,90.1,7,19,100.0,3,6,7325.129999999999,366.0
307,40,3,Female,Associate Degree,Married,No,Suburban,Product,Senior,Small (51-200),Technology,Good,Very Fast (100+ Mbps),47,Moderate,Weekly,93.4,94.0,76.4,88.4,6,44,100.0,5,2,7673.12,560.4000000000001
308,27,1,Male,Bachelor Degree,Married,No,Rural,Engineering,Junior,Medium (201-1000),Media,Excellent,Very Fast (100+ Mbps),49,Moderate,Daily,61.5,74.9,63.1,76.8,8,31,83.2,6,6,5629.44,123.0
309,53,3,Male,Bachelor Degree,In Relationship,Yes,Urban,Marketing,Manager,Small (51-200),Finance,Good,Very Fast (100+ Mbps),49,Very High,Weekly,87.4,87.6,79.3,95.0,9,31,100.0,3,6,9082.0,1485.8000000000002
310,25,5,Male,Associate Degree,Single,Yes,Urban,Data Science,Junior,Small (51-200),Manufacturing,Good,Fast (50-100 Mbps),57,High,Few times per week,90.0,89.1,84.2,95.0,12,0,100.0,6,6,8455.0,180.0
311,24,5,Male,Master Degree,Married,Yes,Suburban,Marketing,Mid-Level,Medium (201-1000),Media,Good,Very Fast (100+ Mbps),44,Low,Bi-weekly,90.8,98.7,78.5,95.0,8,0,100.0,4,7,8977.5,0.0
312,45,5,Female,Bachelor Degree,Married,No,Urban,Engineering,Senior,Medium (201-1000),Finance,Average,Fast (50-100 Mbps),47,Moderate,Bi-weekly,90.0,94.4,73.8,95.0,9,0,86.8,7,2,9310.0,810.0
313,42,5,Male,Master Degree,Divorced,Yes,Suburban,Sales,Senior,Large (1001-5000),Consulting,Excellent,Fast (50-100 Mbps),42,Moderate,Monthly,58.4,55.8,59.5,69.1,5,0,75.4,1,8,3973.2499999999995,408.8
314,40,3,Female,Bachelor Degree,In Relationship,No,Rural,Product,Junior,Enterprise (5000+),Retail,Average,Slow (<25 Mbps),37,Low,Bi-weekly,91.6,91.6,76.0,95.0,7,7,75.1,8,7,8692.5,0.0
315,40,4,Male,Master Degree,Married,No,Suburban,Design,Lead,Large (1001-5000),Media,Average,Fast (50-100 Mbps),46,Very High,Few times per week,86.1,93.5,68.4,95.0,8,18,100.0,7,2,8312.5,774.9
316,34,3,Male,Associate Degree,Single,Yes,Urban,Design,Junior,Medium (201-1000),Technology,Average,Slow (<25 Mbps),47,Moderate,Weekly,98.1,82.8,94.5,95.0,4,8,100.0,6,10,8417.0,0.0
317,26,4,Male,Master Degree,Married,Yes,Urban,Finance,Junior,Large (1001-5000),Government,Good,Very Fast (100+ Mbps),44,High,Monthly,100.0,100.0,86.5,95.0,9,8,100.0,7,6,9310.0,0.0
318,35,2,Male,Associate Degree,Married,No,Urban,Marketing,Senior,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),32,Moderate,Few times per week,100.0,97.8,83.1,95.0,9,31,87.3,5,10,9310.0,1000.0
319,28,4,Male,Bachelor Degree,In Relationship,No,Suburban,Engineering,Junior,Small (51-200),Manufacturing,Good,Fast (50-100 Mbps),33,Very High,Weekly,73.4,80.4,82.2,91.4,7,16,100.0,4,4,6562.52,73.4
320,43,3,Male,Master Degree,Married,No,Urban,Engineering,Senior,Small (51-200),Finance,Average,Very Fast (100+ Mbps),46,Low,Bi-weekly,61.5,86.9,71.4,90.9,8,39,100.0,1,2,7172.010000000001,615.0
321,33,0,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),39,Moderate,Few times per week,67.2,76.8,64.2,95.0,6,22,93.6,6,7,7619.0,604.8000000000001
322,27,4,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Junior,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),44,High,Daily,84.6,100.0,87.0,95.0,5,32,100.0,5,9,8702.0,84.6
323,32,0,Female,Master Degree,Married,No,Rural,Product,Lead,Enterprise (5000+),Finance,Good,Fast (50-100 Mbps),44,Moderate,Daily,65.2,64.2,68.3,84.6,15,20,100.0,4,3,5972.759999999999,456.40000000000003
324,38,2,Male,Master Degree,Divorced,No,Suburban,Customer Success,Junior,Medium (201-1000),Finance,Average,Moderate (25-50 Mbps),41,Moderate,Daily,53.1,50.0,42.6,74.2,3,34,56.7,8,8,3813.88,53.1
325,29,0,Male,High School,Single,No,Rural,Operations,Junior,Large (1001-5000),Technology,Excellent,Very Fast (100+ Mbps),40,High,Few times per week,91.4,97.7,86.3,95.0,8,13,100.0,7,3,8996.5,91.4
326,27,2,Female,Bachelor Degree,Married,Yes,Suburban,Data Science,Junior,Startup (1-50),Technology,Poor,Slow (<25 Mbps),41,Very High,Few times per week,65.4,72.4,80.7,89.4,12,48,100.0,10,8,6418.92,130.8
327,37,5,Female,Bachelor Degree,Single,Yes,Urban,Finance,Lead,Enterprise (5000+),Finance,Good,Very Fast (100+ Mbps),44,Very High,Few times per week,95.6,100.0,76.3,95.0,6,0,100.0,8,8,9310.0,669.1999999999999
328,30,3,Male,PhD,Married,No,Urban,Marketing,Junior,Small (51-200),Finance,Good,Fast (50-100 Mbps),37,Moderate,Monthly,89.2,88.9,86.4,95.0,7,7,100.0,3,6,9310.0,178.4
329,30,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Mid-Level,Small (51-200),Consulting,Excellent,Moderate (25-50 Mbps),41,High,Daily,97.9,93.8,79.6,95.0,6,33,100.0,7,9,9310.0,293.70000000000005
330,37,2,Female,Bachelor Degree,Married,No,Suburban,Marketing,Lead,Small (51-200),Education,Average,Fast (50-100 Mbps),35,High,Bi-weekly,90.0,100.0,89.7,95.0,16,66,100.0,3,5,9310.0,900.0
331,22,4,Male,Professional Degree,Single,No,Urban,Engineering,Junior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),45,Moderate,Daily,93.2,100.0,79.9,95.0,5,12,79.9,3,5,9158.0,0.0
332,22,4,Female,Bachelor Degree,Married,Yes,Urban,Sales,Mid-Level,Startup (1-50),Healthcare,Excellent,Very Fast (100+ Mbps),39,Very Low,Few times per week,77.0,75.1,70.2,84.6,3,46,85.6,8,10,5769.72,0.0
333,28,4,Male,Master Degree,Married,Yes,Suburban,Design,Junior,Medium (201-1000),Manufacturing,Average,Very Fast (100+ Mbps),46,Moderate,Few times per week,98.5,93.9,92.4,95.0,6,25,100.0,5,4,9310.0,0.0
334,37,5,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Mid-Level,Medium (201-1000),Finance,Poor,Very Fast (100+ Mbps),48,High,Few times per week,97.9,95.7,91.0,95.0,10,0,100.0,4,7,9310.0,881.1
335,48,5,Female,Bachelor Degree,Single,Yes,Urban,Operations,Manager,Enterprise (5000+),Healthcare,Good,Slow (<25 Mbps),49,Very High,Daily,100.0,98.0,92.7,95.0,6,0,100.0,6,5,9310.0,1900.0
336,42,4,Female,Associate Degree,Married,Yes,Urban,Operations,Mid-Level,Small (51-200),Government,Good,Moderate (25-50 Mbps),44,Very High,Few times per week,100.0,100.0,82.6,95.0,7,20,100.0,4,5,9310.0,800.0
337,33,2,Female,Bachelor Degree,Divorced,No,Urban,Engineering,Mid-Level,Startup (1-50),Healthcare,Excellent,Very Fast (100+ Mbps),39,Moderate,Daily,100.0,94.0,82.1,95.0,6,29,100.0,6,5,9310.0,300.0
338,34,4,Female,Bachelor Degree,Single,No,Suburban,Engineering,Senior,Medium (201-1000),Retail,Average,Fast (50-100 Mbps),36,High,Few times per week,84.3,92.4,95.0,95.0,8,6,100.0,7,8,8417.0,337.2
339,25,3,Female,High School,Single,No,Suburban,Data Science,Junior,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),47,High,Few times per week,87.9,84.1,95.0,95.0,9,16,100.0,7,6,8131.999999999999,87.9
340,34,4,Female,Bachelor Degree,Divorced,No,Urban,Engineering,Junior,Small (51-200),Manufacturing,Poor,Very Fast (100+ Mbps),41,Low,Few times per week,48.5,55.0,48.2,72.7,8,57,79.6,5,6,4412.89,97.0
341,32,4,Female,Bachelor Degree,Married,No,Rural,Customer Success,Senior,Medium (201-1000),Finance,Average,Very Fast (100+ Mbps),42,High,Weekly,94.5,100.0,80.0,95.0,5,3,100.0,7,7,8996.5,661.5
342,37,4,Female,Bachelor Degree,Single,No,Urban,Marketing,Lead,Enterprise (5000+),Finance,Poor,Fast (50-100 Mbps),39,Low,Bi-weekly,95.5,87.2,56.7,95.0,7,27,100.0,4,6,8122.5,573.0
343,39,0,Female,Master Degree,Single,Yes,Suburban,Sales,Senior,Small (51-200),Media,Good,Very Fast (100+ Mbps),48,Very High,Daily,98.7,85.3,91.5,95.0,6,31,100.0,1,7,9310.0,888.3000000000001
344,48,0,Female,Associate Degree,Single,Yes,Urban,HR,Senior,Medium (201-1000),Technology,Excellent,Moderate (25-50 Mbps),41,Low,Weekly,85.3,86.6,86.3,95.0,11,19,71.8,9,6,7980.0,853.0
345,34,2,Male,Bachelor Degree,In Relationship,No,Suburban,Product,Senior,Medium (201-1000),Technology,Excellent,Fast (50-100 Mbps),30,Very High,Few times per week,93.2,95.5,79.4,95.0,6,0,100.0,5,5,8512.0,279.6
346,38,5,Female,Master Degree,Married,No,Rural,Engineering,Junior,Startup (1-50),Retail,Good,Very Fast (100+ Mbps),41,Low,Few times per week,83.1,80.8,60.4,92.9,8,0,100.0,5,8,7023.24,83.1
347,41,4,Male,Bachelor Degree,Married,Yes,Suburban,Engineering,Senior,Medium (201-1000),Education,Good,Very Fast (100+ Mbps),33,High,Few times per week,98.9,87.9,95.0,95.0,3,29,100.0,6,3,8920.5,593.4000000000001
348,31,4,Male,Master Degree,Single,No,Suburban,Engineering,Junior,Enterprise (5000+),Technology,Excellent,Fast (50-100 Mbps),45,Moderate,Weekly,77.4,75.1,83.9,95.0,6,15,100.0,8,10,7951.5,232.20000000000002
349,37,4,Male,Master Degree,Single,Yes,Suburban,Customer Success,Senior,Small (51-200),Technology,Good,Fast (50-100 Mbps),44,Moderate,Bi-weekly,63.3,86.5,77.5,95.0,5,26,100.0,5,7,7685.500000000001,379.79999999999995
350,35,4,Female,Associate Degree,Divorced,Yes,Urban,Marketing,Senior,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),51,Moderate,Monthly,65.9,66.0,55.2,74.7,10,13,87.0,3,5,4877.91,329.5
351,35,5,Female,High School,Single,No,Suburban,Engineering,Junior,Startup (1-50),Healthcare,Excellent,Very Fast (100+ Mbps),33,Moderate,Bi-weekly,100.0,86.9,93.4,95.0,8,0,100.0,5,4,9310.0,100.0
352,28,4,Female,PhD,Married,Yes,Urban,Sales,Junior,Medium (201-1000),Consulting,Good,Very Fast (100+ Mbps),50,Low,Weekly,67.9,69.2,48.3,84.2,10,32,79.6,1,5,6011.880000000001,135.8
353,35,4,Female,Bachelor Degree,Single,No,Rural,Marketing,Senior,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),45,Low,Bi-weekly,80.0,91.6,65.9,90.6,17,24,90.7,4,9,7202.7,720.0
354,39,4,Female,Master Degree,Married,Yes,Urban,Customer Success,Junior,Medium (201-1000),Media,Good,Very Fast (100+ Mbps),33,Moderate,Daily,47.6,58.9,40.7,78.4,4,27,79.2,2,8,3982.7200000000003,95.2
355,48,2,Female,Bachelor Degree,Single,Yes,Suburban,Operations,Lead,Medium (201-1000),Finance,Excellent,Fast (50-100 Mbps),52,Moderate,Weekly,100.0,100.0,88.9,95.0,3,45,96.4,5,4,9310.0,900.0
